iso,country_name,year,tree_cover_ha,country_area_ha
COM,Comoros,2000,134784.1659987654,167304.82830116132
CPV,Cape Verde,2000,7355.953906165814,409097.90660205134
CRI,Costa Rica,2000,3913048.864173335,5117666.972829133
CUB,Cuba,2000,4014607.41507634,11073121.951090535
CUW,Curaçao,2000,5260.667767820553,43776.987392614676
CYM,Cayman Islands,2000,13458.390701377766,28039.828707517456
CYP,Cyprus,2000,89657.93337912716,571955.855903102
CZE,Czech Republic,2000,3080384.407604677,7883558.885973809
DEU,Germany,2000,12526779.901288956,35783855.98694147
DJI,Djibouti,2000,0.075224552906901,2186335.764996844
DMA,Dominica,2000,70924.82619292584,75428.07801474727
DNK,Denmark,2000,663203.697841327,4314471.770574761
DOM,Dominican Republic,2000,2576426.466921172,4809195.188376376
DZA,Algeria,2000,1223621.2908389915,230804377.30747715
ECU,Ecuador,2000,19027558.838129237,25611545.432102848
EGY,Egypt,2000,154304.25470167704,98376439.43319337
ERI,Eritrea,2000,4.607613199087999,12045733.197587354
ESH,Western Sahara,2000,0.0,26732059.552159753
ESP,Spain,2000,11018923.060405293,50604278.841075726
EST,Estonia,2000,2639428.801214104,4548974.012677069
ETH,Ethiopia,2000,12040336.150607042,112951806.95088656
FIN,Finland,2000,21627651.620614596,33693917.99093759
FJI,Fiji,2000,1556559.2428395038,1808230.9743080945
FLK,Falkland Islands,2000,2188.357467943008,1239764.463493856
FRA,France,2000,16783020.102675308,54951497.532282874
FRO,Faroe Islands,2000,0.0,143971.29834117758
FSM,Micronesia,2000,6171.717745398592,10266.944492561794
GAB,Gabon,2000,24690965.171509814,26454969.882697605
GBR,United Kingdom,2000,3695599.4109744774,24548497.615152538
GEO,Georgia,2000,3144573.0907962513,6984457.386672925
GGY,Guernsey,2000,1508.204995808024,8844.93755901556
GHA,Ghana,2000,6955668.116954649,23832413.121408567
GIB,Gibraltar,2000,119.85350947553393,721.2164658817376
GIN,Guinea,2000,8159637.0697255,24481606.68352865
GLP,Guadeloupe,2000,94757.79385746914,165028.80176981073
GMB,Gambia,2000,4562.456649658906,1067050.7519443408
GNB,Guinea-Bissau,2000,1069848.6139014112,3388205.004614396
GNQ,Equatorial Guinea,2000,2654595.0554944696,2695935.338293543
GRC,Greece,2000,3672496.928590404,13257505.410982115
GRD,Grenada,2000,28534.39672515567,35953.33668168499
GRL,Greenland,2000,0.0,12409768.809413016
GTM,Guatemala,2000,7693455.58401393,10915098.49020744
GUF,French Guiana,2000,8162751.085276903,8330096.726530746
GUY,Guyana,2000,18996032.65975894,20974416.13835052
HKG,Hong Kong,2000,62046.32394556305,112913.21583203498
HND,Honduras,2000,7740481.980803822,11228979.89758654
HRV,Croatia,2000,2431307.547132059,5707840.168681432
HTI,Haiti,2000,858466.3796002812,2710683.587270832
HUN,Hungary,2000,1990161.061776502,9305263.744427009
IDN,Indonesia,2000,160641223.3264781,189024469.0219831
IMN,Isle of Man,2000,13217.149622408073,57966.509572522715
IND,India,2000,38830351.46155833,315279651.3050516
IRL,Ireland,2000,841570.7684955469,7036644.645938319
IRN,Iran,2000,1731671.4194654615,162173902.83999678
IRQ,Iraq,2000,17504.255857008495,44535864.69401231
ISL,Iceland,2000,0.0,10222425.829558844
ISR,Israel,2000,29485.15502805982,2215883.366428517
ITA,Italy,2000,9318960.444528371,30075442.783975553
JAM,Jamaica,2000,768439.9915816006,1099979.9327954033
JEY,Jersey,2000,1549.97069756193,12512.55195693852
JOR,Jordan,2000,2271.459741267524,8911879.30131099
JPN,Japan,2000,26387254.411338083,37240326.65674693
KAZ,Kazakhstan,2000,4240315.679628228,273053036.2243101
KEN,Kenya,2000,3319482.9584881617,58598335.71896553
KGZ,Kyrgyzstan,2000,674974.2563738562,19864898.70385088
KHM,Cambodia,2000,8809929.848614415,18135960.793592095
KIR,Kiribati,2000,0.0,689.8485050325128
KNA,Saint Kitts and Nevis,2000,13259.9537494117,26717.78772643011
KOR,South Korea,2000,5367962.225609637,10022829.7919741
KWT,Kuwait,2000,0.0,1738893.7953499348
LAO,Laos,2000,19129551.50593096,23000147.786721554
LBN,Lebanon,2000,65235.173813149086,1023803.8608160204
LBR,Liberia,2000,9384713.475100048,9591801.582971107
LBY,Libya,2000,6833.009330289816,161606184.84794256
LCA,Saint Lucia,2000,50731.18581796252,61447.62916553708
LIE,Liechtenstein,2000,9077.337999986135,16203.809321929524
LKA,Sri Lanka,2000,3939923.714868032,6583727.01456332
LSO,Lesotho,2000,6051.936641610282,3054531.162856617
LTU,Lithuania,2000,2336226.279164921,6501662.939354552
LUX,Luxembourg,2000,101326.48540681902,258155.7393961656
LVA,Latvia,2000,3553506.4649059353,6470996.260924732
MAC,Macao,2000,413.1857473977995,3412.786424292653
MAF,Saint-Martin,2000,1849.577093416192,5616.342785538751
MAR,Morocco,2000,648568.6233904928,41348767.35080052
MCO,Monaco,2000,0.3916300133007813,235.2974844785364
MDA,Moldova,2000,356012.1017502551,3390780.8390770666
MDG,Madagascar,2000,17141085.637880474,59144707.32516844
MDV,Maldives,2000,5569.753916259872,27912.713035791763
MEX,Mexico,2000,53177141.60100904,195185464.54582345
MKD,Macedonia,2000,781684.4167756911,2482514.9576145066
MLI,Mali,2000,25097.999755577992,125119256.1672966
MLT,Malta,2000,116.70431756518232,32334.790779288604
MMR,Myanmar,2000,42863374.0936665,66929667.32947814
MNE,Montenegro,2000,616440.4562063903,1333523.2587345308
MNG,Mongolia,2000,4090464.886503621,156624744.50499222
MOZ,Mozambique,2000,28917947.26893704,78729716.65135494
MRT,Mauritania,2000,33.31622286066296,104117150.64117213
MSR,Montserrat,2000,4582.527251142297,10061.822079147709
MTQ,Martinique,2000,74649.67904764375,111787.95517227409
MUS,Mauritius,2000,71304.81704856893,191366.76446960607
MWI,Malawi,2000,1521821.6879923723,11802885.394903192
MYS,Malaysia,2000,29430562.39760428,32938348.759834714
MYT,Mayotte,2000,33577.05042571991,39165.179651269485
NAM,Namibia,2000,3835.352354336861,82385622.18475232
NCL,New Caledonia,2000,1440330.503870279,1882559.4074686244
NER,Niger,2000,2.328707245189345,118366970.16952305
NFK,Norfolk Island,2000,0.0,4062.5988748327054
NGA,Nigeria,2000,10048731.32858084,90840998.02039933
NIC,Nicaragua,2000,7776807.52116449,12821978.476095332
NLD,Netherlands,2000,593051.6752869211,3766566.364398873
NOR,Norway,2000,11739521.784679525,32512221.025824875
NPL,Nepal,2000,5161040.902471243,14766249.54440851
NRU,Nauru,2000,0.0,2215.23352633937
NZL,New Zealand,2000,11255742.600712255,26716575.12438852
OMN,Oman,2000,0.3597874400195312,30933274.086451296
PAK,Pakistan,2000,978655.8891624184,87417630.59556742
PAN,Panama,2000,5700499.759154127,7510419.904453682
PER,Peru,2000,78087222.68305926,129281868.51759306
PHL,Philippines,2000,18599416.941341087,29585658.162895434
PLW,Palau,2000,41263.465209178335,48743.205380787855
PNG,Papua New Guinea,2000,42921809.050752945,46363061.21418273
POL,Poland,2000,10439489.725115163,31239917.800096583
PRI,Puerto Rico,2000,523696.33607200545,897037.2746447431
PRK,North Korea,2000,5196389.714276752,12275519.138588596
PRT,Portugal,2000,2302481.42451337,8955505.678182434
PRY,Paraguay,2000,24296867.55250717,39958667.52153236
PSE,Palestina,2000,614.7668988424484,621996.6833200763
QAT,Qatar,2000,0.0,1162493.7996266396
REU,Reunion,2000,170474.5250729159,251271.10501471063
ROU,Romania,2000,7915161.1253574705,23833793.63877914
RUS,Russia,2000,761226496.941581,1689455451.8547645
RWA,Rwanda,2000,497885.7754461151,2527769.9121828843
SAU,Saudi Arabia,2000,6.807712392352429,191598433.632392
SDN,Sudan,2000,72712.56006031939,187213491.71256703
SEN,Senegal,2000,39568.3625379719,19688982.712595567
SGP,Singapore,2000,18784.23099652327,69703.6960587794
SJM,Svalbard and Jan Mayen,2000,0.0,5442472.373677429
SLB,Solomon Islands,2000,2741617.7866809806,2853324.005848241
SLE,Sierra Leone,2000,5617878.285848281,7260135.886147367
SLV,El Salvador,2000,988823.3082361185,2042272.8589492536
SMR,San Marino,2000,829.5404327158809,6122.35296018708
SOM,Somalia,2000,87128.074783709,63353849.52120266
SPM,Saint Pierre and Miquelon,2000,5454.071972223121,22663.41677143621
SRB,Serbia,2000,2730300.360427985,7823140.491428554
SSD,South Sudan,2000,11386560.104791995,62809870.698404655
STP,Sao Tome and Principe,2000,14213.57470684879,100217.98772540956
SUR,Suriname,2000,13949809.567683533,14642556.86529194
SVK,Slovakia,2000,2397197.2660028394,4909915.804720729
SVN,Slovenia,2000,1293520.6872011295,1998090.7854930265
SWE,Sweden,2000,27883714.002102744,45004558.106547914
SWZ,Swaziland,2000,469227.38864805567,1738333.0630143571
SXM,Sint Maarten,2000,1022.179782384784,3801.387515217631
SYC,Seychelles,2000,6209.624619393158,20267.932087289548
SYR,Syria,2000,105939.86933259064,18691798.39213458
TCA,Turks and Caicos Islands,2000,10851.311884848517,99152.01584845528
TCD,Chad,2000,409749.29467147373,126995174.50108236
TGO,Togo,2000,558803.5132552909,5699519.202017185
THA,Thailand,2000,19962441.088564392,51405448.59427768
TJK,Tajikistan,2000,60256.648494326575,14211295.405720651
TKM,Turkmenistan,2000,10176.93568905972,48959209.554215215
TLS,East Timor,2000,726234.4514016962,1491565.392336985
TTO,Trinidad and Tobago,2000,391844.2819339883,515899.59454436606
TUN,Tunisia,2000,223827.6198784769,15486458.270953083
TUR,Turkey,2000,10060827.805633448,78070340.89001258
TUV,Tuvalu,2000,0.0,49.90083498861268
TWN,Taiwan,2000,2342180.5473948093,3640651.3973241686
TZA,Tanzania,2000,26406465.7748398,94057690.73100492
UGA,Uganda,2000,7764958.854562309,24143952.93930272
UKR,Ukraine,2000,11133284.652451908,60136109.70821545
UMI,United States Minor Outlying Islands,2000,145.8981168277606,541.6797628049935
